,DOC_Loss(gC/day/m2)_Delineated_Average,DON_Loss(gN/day/m2)_Delineated_Average,Runoff_All(mm/day)_Delineated_Average,NH4_Loss(gN/day/m2)_Delineated_Average,Year,NO3_Loss(gN/day/m2)_Delineated_Average,Step,DOC_mg/L,Sfc_Water_Temp_C,CO2
2126,0.0226775780320167,2.129330823663622e-05,0.0538398064672946,3.367922772667953e-06,2003,2.9352102046686923e-06,2126,0.06479308009147629,9.0125,0.016198270022869072
2127,0.0203828830271959,1.91427407116862e-05,0.0510970391333103,3.0611345209763385e-06,2003,2.61267155110545e-06,2127,0.058236808649131146,10.4375,0.014559202162282786
2128,0.0188645999878644,1.772188079485204e-05,0.0465461760759353,2.8658441806328483e-06,2003,2.398474634901504e-06,2128,0.053898857108184005,8.3375,0.013474714277046001
2129,0.0173538550734519,1.6304922610288486e-05,0.039891093969345,2.6649988740246044e-06,2003,2.1864939299121038e-06,2129,0.049582443067005426,9.7625,0.012395610766751356
2130,0.0157674197107553,1.4809775166213512e-05,0.0356444008648395,2.446087819407694e-06,2003,1.9638505364127923e-06,2130,0.045049770602158,11.637501,0.0112624426505395
2131,0.0143819116055965,1.3497499821824022e-05,0.0320390351116657,2.25255507757538e-06,2003,1.7672157355264062e-06,2131,0.04109117601599001,12.762501,0.010272794003997502
2132,0.0131899546831846,1.2367182534944732e-05,0.0289697498083114,2.0850895907642557e-06,2003,1.6004642020561732e-06,2132,0.03768558480909886,12.6875,0.009421396202274715
2133,0.0125237135216593,1.1732241546269506e-05,0.0325602516531944,2.000141421376611e-06,2003,1.5062121292430677e-06,2133,0.03578203863331229,10.7375,0.008945509658328072
2134,0.0125030372291803,1.1708765669027343e-05,0.0333236865699291,2.019218527493649e-06,2003,1.4916407735654502e-06,2134,0.03572296351194371,5.0375,0.008930740877985928
2135,0.0122365867719054,1.1461804206192028e-05,0.0265731904655694,1.996827450057026e-06,2003,1.4479782066700864e-06,2135,0.034961676491158285,4.2875,0.008740419122789571
2136,0.0115079497918486,1.0784821824927349e-05,0.0247801821678876,1.896899334496993e-06,2003,1.3506746654456947e-06,2136,0.03287985654813886,5.4875,0.008219964137034715
2137,0.0108253620564937,1.0142694009118712e-05,0.0230670887976884,1.8010443909588505e-06,2003,1.2595664884429425e-06,2137,0.03092960587569629,9.7625,0.007732401468924072
2138,0.0101772006601095,9.532050171401352e-06,0.0214650332927703,1.7088508457163698e-06,2003,1.1741086609617923e-06,2138,0.029077716171741427,9.2375,0.007269429042935357
2139,0.0099505456164479,9.311885150964372e-06,0.0277640391141176,1.687492840574123e-06,2003,1.138459538196912e-06,2139,0.028430130332708286,8.9375,0.0071075325831770715
2140,0.0099340509623289,9.29354519030312e-06,0.0208368394523859,1.7006914276862517e-06,2003,1.1282468221907038e-06,2140,0.028383002749511145,3.9875,0.007095750687377786
2141,0.0094536980614066,8.847431672620587e-06,0.0196855664253234,1.6331451888618176e-06,2003,1.0660459111022649e-06,2141,0.027010565889733145,4.5875,0.006752641472433286
2142,0.0117798261344432,1.0986649613187184e-05,0.0410026833415031,2.064399041046272e-06,2003,1.3195408428146038e-06,2142,0.03365664609840915,7.0625,0.008414161524602287
2143,0.0287386495620012,2.662078077264596e-05,0.0781102925539016,5.126975793245947e-06,2003,3.1789702461537672e-06,2143,0.08211042732000344,9.2375,0.02052760683000086
2144,0.0522509403526783,4.832034028368071e-05,0.1356952786445617,9.395873348694296e-06,2003,5.7201973504561465e-06,2144,0.14928840100765228,8.6375,0.03732210025191307
2145,0.0643685236573219,5.955724554951303e-05,0.4396443367004394,1.1770359378715511e-05,2003,6.945413133507827e-06,2145,0.1839100675923483,7.5875,0.04597751689808707
2146,0.0857122093439102,7.94819206930697e-05,0.236173078417778,1.5812045603524894e-05,2003,9.183449947158806e-06,2146,0.2448920266968863,2.7125,0.06122300667422158
2147,0.0572916567325592,5.34187893208582e-05,0.1530091762542724,1.0673173164832406e-05,2003,6.096616743889172e-06,2147,0.163690447807312,4.1375,0.040922611951828
2148,0.043443139642477,4.0688522858545184e-05,0.1135070249438285,8.163521670212504e-06,2003,4.594520760292653e-06,2148,0.12412325612136287,4.1375,0.031030814030340716
2149,0.0384696833789348,3.613734952523373e-05,0.141978919506073,7.300157903955551e-06,2003,4.043490207550349e-06,2149,0.10991338108267086,5.1875,0.027478345270667715
2150,0.0360709764063358,3.398035551072098e-05,0.0935653448104858,6.898816991451895e-06,2003,3.772010131797288e-06,2150,0.10305993258953088,1.8125,0.02576498314738272
2151,0.0302727427333593,2.862367546185851e-05,0.0776002332568168,5.831452654092573e-06,2003,3.1472009140998125e-06,2151,0.08649355066674086,6.4625,0.021623387666685215
2152,0.039076879620552,3.685025512822904e-05,0.1124248057603836,7.633003406226635e-06,2003,4.025497219117824e-06,2152,0.11164822748729143,7.8125,0.027912056871822858
